zip,units,owner
00601,7356,3902
00602,17210,9443
00603,25262,11148
00606,2685,1438
00610,12174,6415
00611,704,393
00612,30340,14335
00616,4555,2424
00617,10226,6108
00622,7586,2320
00623,20508,11678
00624,9120,5023
00627,14213,9065
00631,613,295
00636,271,126
00637,11140,5754
00638,7689,4200
00641,11295,5510
00646,16014,9636
00647,3282,1407
00650,5982,3632
00652,1839,1217
00653,5771,2569
00656,8347,4716
00659,16454,9498
00660,7511,4347
00662,19518,8945
00664,6385,2944
00667,12153,5871
00669,12323,6733
00670,4005,2043
00674,18819,10811
00676,16207,8324
00677,9296,4112
00678,11642,5934
00680,25228,9475
00682,16346,5623
00683,14959,7306
00685,18832,10248
00687,12266,7040
00688,5175,2450
00690,2567,1248
00692,15286,8561
00693,26376,15690
00694,110,68
00698,17016,9186
00703,11086,5974
00704,3439,1905
00705,10320,6995
00707,4980,2944
00714,8087,4885
00715,1145,616
00716,14174,7373
00717,8946,3252
00718,11166,5984
00719,11156,6277
00720,8646,4621
00723,8106,4238
00725,37026,19989
00727,23294,14642
00728,15813,9962
00729,20273,12888
00730,17177,8946
00731,5152,2969
00735,7242,3047
00736,21650,11302
00738,17735,8429
00739,14526,8566
00740,944,358
00741,1907,1093
00745,23062,12130
00751,10009,6077
00754,15918,9963
00757,9114,5755
00765,5242,1836
00766,9286,6001
00767,14320,8501
00769,15954,9831
00771,15089,9606
00772,8686,4169
00773,10417,4675
00775,1449,283
00777,16346,9807
00778,17384,11737
00780,5405,4049
00782,7263,3328
00783,13271,8149
00784,18024,10487
00786,97,73
00791,24649,12828
00794,11203,6421
00795,17913,11433
00901,4325,1375
00906,75,30
00907,12722,5217
00909,3982,1116
00911,5699,1968
00912,3728,1468
00913,3825,510
00915,15402,4274
00917,11607,3951
00918,10830,3830
00920,8916,3823
00921,17234,6320
00923,13917,4712
00924,24796,10294
00925,4627,461
00926,45119,27602
00927,7525,3321
00934,37,0
00949,31444,18940
00951,266,57
00952,4254,2209
00953,26777,18841
00956,31649,18340
00957,18283,11591
00959,22391,12349
00961,13214,8175
00962,9644,4278
00965,2646,1283
00966,8380,5124
00968,2285,1415
00969,18550,11619
00971,11849,6787
00976,27486,17539
00979,12140,5328
00982,7395,3591
00983,16240,8561
00985,15006,8441
00987,24054,15883
01001,7033,4964
01002,11089,4729
01003,85,0
01005,1876,1367
01007,6569,5409
01008,655,552
01009,367,210
01010,1643,1292
01011,622,371
01012,219,124
01013,10309,4914
01020,14154,8110
01022,1069,824
01026,590,379
01027,9221,5350
01028,6051,5059
01029,981,286
01030,5199,3725
01031,734,364
01032,321,219
01033,2768,2401
01034,1245,813
01035,2293,1703
01036,2025,1902
01037,272,232
01038,1119,834
01039,703,610
01040,17057,6451
01050,1166,878
