zip,state,page
01001,MA,1
01002,MA,1
01005,MA,1
01007,MA,1
01008,MA,1
01009,MA,0
01010,MA,1
01011,MA,1
01012,MA,1
01013,MA,1
01020,MA,1
01022,MA,1
01026,MA,0
01027,MA,1
01028,MA,1
01029,MA,0
01030,MA,1
01031,MA,1
01032,MA,0
01033,MA,1
01034,MA,0
01035,MA,1
01036,MA,1
01037,MA,0
01038,MA,1
01039,MA,0
01040,MA,1
01050,MA,1
01053,MA,1
01054,MA,1
01056,MA,1
01057,MA,1
01060,MA,1
01062,MA,1
01068,MA,1
01069,MA,1
01070,MA,1
01071,MA,1
01072,MA,1
01073,MA,1
01074,MA,0
01075,MA,1
01077,MA,1
01079,MA,0
01080,MA,1
01081,MA,1
01082,MA,1
01083,MA,1
01085,MA,1
01089,MA,1
01095,MA,1
01096,MA,1
01098,MA,1
01103,MA,1
01104,MA,1
01105,MA,1
01106,MA,1
01107,MA,1
01108,MA,1
01109,MA,1
01116,MA,0
01118,MA,1
01119,MA,1
01128,MA,1
01129,MA,1
01151,MA,1
01201,MA,1
01220,MA,1
01222,MA,0
01223,MA,1
01225,MA,1
01226,MA,1
01229,MA,0
01230,MA,1
01235,MA,1
01236,MA,1
01237,MA,1
01238,MA,1
01240,MA,1
01243,MA,0
01245,MA,1
01247,MA,1
01253,MA,1
01254,MA,1
01255,MA,1
01256,MA,1
01257,MA,1
01258,MA,1
01259,MA,1
01262,MA,1
01263,MA,0
01266,MA,1
01267,MA,1
01270,MA,1
01301,MA,1
01330,MA,1
01331,MA,1
01337,MA,1
01339,MA,1
01340,MA,1
01341,MA,1
01342,MA,0
01343,MA,0
01344,MA,1
01346,MA,1
01349,MA,1
01350,MA,0
01351,MA,1
01354,MA,1
01360,MA,1
01364,MA,1
01366,MA,1
01368,MA,1
01370,MA,1
01373,MA,1
01375,MA,1
01376,MA,1
01378,MA,0
01379,MA,0
01420,MA,1
01430,MA,1
01431,MA,1
01432,MA,1
01434,MA,0
01436,MA,1
01440,MA,1
01450,MA,1
01451,MA,1
01452,MA,1
01453,MA,1
01460,MA,1
01462,MA,1
01463,MA,1
01464,MA,1
01467,MA,1
01468,MA,1
01469,MA,1
01471,MA,0
01473,MA,1
01474,MA,1
01475,MA,1
01501,MA,1
01503,MA,1
01504,MA,1
01505,MA,1
01506,MA,1
01507,MA,1
01510,MA,1
01515,MA,1
01516,MA,1
01518,MA,1
01519,MA,1
01520,MA,1
01521,MA,1
01522,MA,1
01523,MA,1
01524,MA,1
01527,MA,1
01529,MA,1
01531,MA,1
01532,MA,1
01534,MA,1
01535,MA,1
01536,MA,1
01537,MA,1
01540,MA,1
01541,MA,1
01542,MA,1
01543,MA,1
01545,MA,1
01546,MA,1
01550,MA,1
01560,MA,1
01562,MA,1
01564,MA,1
01566,MA,1
01568,MA,1
01569,MA,1
01570,MA,1
01571,MA,1
01581,MA,1
01583,MA,1
01585,MA,1
01588,MA,1
01590,MA,1
01602,MA,1
01603,MA,1
01604,MA,1
01605,MA,1
01606,MA,1
01607,MA,1
01608,MA,1
01609,MA,1
01610,MA,1
01611,MA,1
01612,MA,1
01701,MA,1
01702,MA,1
01718,MA,1
01719,MA,1
01720,MA,1
01721,MA,1
01730,MA,1
01740,MA,1
01741,MA,1
01742,MA,1
01745,MA,1
01746,MA,1
01747,MA,1
01748,MA,1
01749,MA,1
01752,MA,1
01754,MA,1
01756,MA,1
01757,MA,1
01760,MA,1
01770,MA,1
01772,MA,1
01773,MA,1
01775,MA,1
01776,MA,1
01778,MA,1
01801,MA,1
01803,MA,1
01810,MA,1
01821,MA,1
01824,MA,1
01826,MA,1
01827,MA,1
01830,MA,1
01832,MA,1
01833,MA,1
01834,MA,1
01835,MA,1
01840,MA,1
01841,MA,1
01843,MA,1
01844,MA,1
01845,MA,1
01850,MA,1
01851,MA,1
01852,MA,1
01854,MA,1
01860,MA,1
01862,MA,1
