zip,cbsa,title,is_metro
00602,10380,"Aguadilla, PR",1
00603,10380,"Aguadilla, PR",1
00610,10380,"Aguadilla, PR",1
00611,46580,"Utuado, PR",0
00612,11640,"Arecibo, PR",1
00616,11640,"Arecibo, PR",1
00617,41980,"San Juan-Bayamón-Caguas, PR",1
00622,32420,"Mayagüez, PR",1
00623,32420,"Mayagüez, PR",1
00624,38660,"Ponce, PR",1
00627,11640,"Arecibo, PR",1
00636,32420,"Mayagüez, PR",1
00637,32420,"Mayagüez, PR",1
00638,41980,"San Juan-Bayamón-Caguas, PR",1
00641,46580,"Utuado, PR",0
00646,41980,"San Juan-Bayamón-Caguas, PR",1
00650,41980,"San Juan-Bayamón-Caguas, PR",1
00652,11640,"Arecibo, PR",1
00656,38660,"Ponce, PR",1
00659,11640,"Arecibo, PR",1
00660,32420,"Mayagüez, PR",1
00662,10380,"Aguadilla, PR",1
00667,32420,"Mayagüez, PR",1
00669,29720,"Lares, PR",0
00674,41980,"San Juan-Bayamón-Caguas, PR",1
00676,10380,"Aguadilla, PR",1
00677,10380,"Aguadilla, PR",1
00678,11640,"Arecibo, PR",1
00680,32420,"Mayagüez, PR",1
00682,32420,"Mayagüez, PR",1
00683,32420,"Mayagüez, PR",1
00685,10380,"Aguadilla, PR",1
00687,41980,"San Juan-Bayamón-Caguas, PR",1
00688,11640,"Arecibo, PR",1
00690,10380,"Aguadilla, PR",1
00692,41980,"San Juan-Bayamón-Caguas, PR",1
00693,41980,"San Juan-Bayamón-Caguas, PR",1
00694,41980,"San Juan-Bayamón-Caguas, PR",1
00698,38660,"Ponce, PR",1
00703,41980,"San Juan-Bayamón-Caguas, PR",1
00704,17640,"Coco, PR",0
00705,41980,"San Juan-Bayamón-Caguas, PR",1
00707,41980,"San Juan-Bayamón-Caguas, PR",1
00714,25020,"Guayama, PR",1
00715,38660,"Ponce, PR",1
00716,38660,"Ponce, PR",1
00717,38660,"Ponce, PR",1
00718,41980,"San Juan-Bayamón-Caguas, PR",1
00719,41980,"San Juan-Bayamón-Caguas, PR",1
00720,41980,"San Juan-Bayamón-Caguas, PR",1
00723,25020,"Guayama, PR",1
00725,41980,"San Juan-Bayamón-Caguas, PR",1
00727,41980,"San Juan-Bayamón-Caguas, PR",1
00728,38660,"Ponce, PR",1
00729,41980,"San Juan-Bayamón-Caguas, PR",1
00730,38660,"Ponce, PR",1
00731,38660,"Ponce, PR",1
00735,41980,"San Juan-Bayamón-Caguas, PR",1
00736,41980,"San Juan-Bayamón-Caguas, PR",1
00738,41980,"San Juan-Bayamón-Caguas, PR",1
00739,41980,"San Juan-Bayamón-Caguas, PR",1
00740,41980,"San Juan-Bayamón-Caguas, PR",1
00741,41980,"San Juan-Bayamón-Caguas, PR",1
00745,41980,"San Juan-Bayamón-Caguas, PR",1
00751,17640,"Coco, PR",0
00754,41980,"San Juan-Bayamón-Caguas, PR",1
00757,17620,"Coamo, PR",0
00766,38660,"Ponce, PR",1
00767,41980,"San Juan-Bayamón-Caguas, PR",1
00769,17620,"Coamo, PR",0
00771,41980,"San Juan-Bayamón-Caguas, PR",1
00772,41980,"San Juan-Bayamón-Caguas, PR",1
00773,41980,"San Juan-Bayamón-Caguas, PR",1
00777,41980,"San Juan-Bayamón-Caguas, PR",1
00778,41980,"San Juan-Bayamón-Caguas, PR",1
00780,38660,"Ponce, PR",1
00782,41980,"San Juan-Bayamón-Caguas, PR",1
00783,41980,"San Juan-Bayamón-Caguas, PR",1
00784,25020,"Guayama, PR",1
00786,41980,"San Juan-Bayamón-Caguas, PR",1
00791,41980,"San Juan-Bayamón-Caguas, PR",1
00794,41980,"San Juan-Bayamón-Caguas, PR",1
00795,38660,"Ponce, PR",1
00901,41980,"San Juan-Bayamón-Caguas, PR",1
00906,41980,"San Juan-Bayamón-Caguas, PR",1
00907,41980,"San Juan-Bayamón-Caguas, PR",1
00909,41980,"San Juan-Bayamón-Caguas, PR",1
00911,41980,"San Juan-Bayamón-Caguas, PR",1
00912,41980,"San Juan-Bayamón-Caguas, PR",1
00913,41980,"San Juan-Bayamón-Caguas, PR",1
00915,41980,"San Juan-Bayamón-Caguas, PR",1
00917,41980,"San Juan-Bayamón-Caguas, PR",1
00918,41980,"San Juan-Bayamón-Caguas, PR",1
00920,41980,"San Juan-Bayamón-Caguas, PR",1
00921,41980,"San Juan-Bayamón-Caguas, PR",1
00923,41980,"San Juan-Bayamón-Caguas, PR",1
00924,41980,"San Juan-Bayamón-Caguas, PR",1
00925,41980,"San Juan-Bayamón-Caguas, PR",1
00926,41980,"San Juan-Bayamón-Caguas, PR",1
00927,41980,"San Juan-Bayamón-Caguas, PR",1
00934,41980,"San Juan-Bayamón-Caguas, PR",1
00949,41980,"San Juan-Bayamón-Caguas, PR",1
00950,41980,"San Juan-Bayamón-Caguas, PR",1
00951,41980,"San Juan-Bayamón-Caguas, PR",1
00952,41980,"San Juan-Bayamón-Caguas, PR",1
00953,41980,"San Juan-Bayamón-Caguas, PR",1
00956,41980,"San Juan-Bayamón-Caguas, PR",1
00957,41980,"San Juan-Bayamón-Caguas, PR",1
00959,41980,"San Juan-Bayamón-Caguas, PR",1
00960,41980,"San Juan-Bayamón-Caguas, PR",1
00961,41980,"San Juan-Bayamón-Caguas, PR",1
00962,41980,"San Juan-Bayamón-Caguas, PR",1
00965,41980,"San Juan-Bayamón-Caguas, PR",1
00966,41980,"San Juan-Bayamón-Caguas, PR",1
00968,41980,"San Juan-Bayamón-Caguas, PR",1
00969,41980,"San Juan-Bayamón-Caguas, PR",1
00971,41980,"San Juan-Bayamón-Caguas, PR",1
00976,41980,"San Juan-Bayamón-Caguas, PR",1
00979,41980,"San Juan-Bayamón-Caguas, PR",1
00982,41980,"San Juan-Bayamón-Caguas, PR",1
00983,41980,"San Juan-Bayamón-Caguas, PR",1
00985,41980,"San Juan-Bayamón-Caguas, PR",1
00987,41980,"San Juan-Bayamón-Caguas, PR",1
01001,44140,"Springfield, MA",1
01002,11200,"Amherst Town-Northampton, MA",1
01003,11200,"Amherst Town-Northampton, MA",1
01005,49340,"Worcester, MA",1
01007,11200,"Amherst Town-Northampton, MA",1
01008,44140,"Springfield, MA",1
01009,44140,"Springfield, MA",1
01010,44140,"Springfield, MA",1
01011,44140,"Springfield, MA",1
01012,11200,"Amherst Town-Northampton, MA",1
01013,44140,"Springfield, MA",1
01020,44140,"Springfield, MA",1
01022,44140,"Springfield, MA",1
01026,11200,"Amherst Town-Northampton, MA",1
01027,11200,"Amherst Town-Northampton, MA",1
01028,44140,"Springfield, MA",1
01029,38340,"Pittsfield, MA",1
01030,44140,"Springfield, MA",1
01031,49340,"Worcester, MA",1
01032,11200,"Amherst Town-Northampton, MA",1
01033,11200,"Amherst Town-Northampton, MA",1
01034,44140,"Springfield, MA",1
01035,11200,"Amherst Town-Northampton, MA",1
01036,44140,"Springfield, MA",1
01037,49340,"Worcester, MA",1
01038,11200,"Amherst Town-Northampton, MA",1
01039,11200,"Amherst Town-Northampton, MA",1
01040,44140,"Springfield, MA",1
01050,11200,"Amherst Town-Northampton, MA",1
01053,11200,"Amherst Town-Northampton, MA",1
01054,24640,"Greenfield, MA",0
01056,44140,"Springfield, MA",1
01057,44140,"Springfield, MA",1
01060,11200,"Amherst Town-Northampton, MA",1
01062,11200,"Amherst Town-Northampton, MA",1
01063,11200,"Amherst Town-Northampton, MA",1
01066,11200,"Amherst Town-Northampton, MA",1
01068,49340,"Worcester, MA",1
01069,44140,"Springfield, MA",1
01070,11200,"Amherst Town-Northampton, MA",1
01071,44140,"Springfield, MA",1
01072,24640,"Greenfield, MA",0
01073,11200,"Amherst Town-Northampton, MA",1
