rank,tier,zip,state,owner,units,has_fhfa
1,A,20906,MD,17522,27423,1
2,A,20874,MD,14842,23081,1
3,A,20011,DC,14767,29658,1
4,A,20850,MD,10880,22468,1
5,A,20171,VA,10465,19221,1
6,A,20164,VA,9844,13077,1
7,A,22204,VA,9644,24128,1
8,A,22207,VA,9622,12740,1
9,A,22304,VA,9597,24654,1
10,A,20706,MD,9527,13799,1
11,A,20603,MD,9462,11887,1
12,A,20152,VA,9345,11127,1
13,A,20105,VA,9337,10600,1
14,A,20748,MD,9262,17111,1
15,A,22079,VA,8962,12454,1
16,A,20136,VA,8379,9290,1
17,A,20191,VA,8333,12744,1
18,A,20785,MD,7753,16202,1
19,A,20910,MD,7638,23209,1
20,A,20814,MD,7454,15388,1
21,A,20832,MD,7254,8581,1
22,A,20003,DC,7243,20817,1
23,A,22031,VA,7078,15390,1
24,A,20121,VA,6888,9968,1
25,A,22201,VA,6305,21787,1
26,A,22102,VA,6294,14274,1
27,A,20879,MD,6270,9008,1
28,A,20187,VA,6018,6886,1
29,A,22124,VA,6008,7049,1
30,A,20008,DC,5948,18083,1
31,A,22041,VA,5789,11567,1
32,A,20010,DC,5770,15917,1
33,A,20705,MD,5719,9181,1
34,A,20783,MD,5717,14389,1
35,A,20895,MD,5537,7316,1
36,A,20770,MD,5446,12736,1
37,A,20613,MD,5348,5684,1
38,A,20816,MD,5250,6779,1
39,A,21774,MD,5068,5503,1
40,A,22206,VA,5041,11851,1
41,A,21704,MD,4989,6230,1
42,A,20017,DC,4976,9252,1
43,A,20905,MD,4974,5866,1
44,A,22302,VA,4912,9660,1
45,A,20018,DC,4896,9753,1
46,A,20015,DC,4869,6727,1
47,A,22401,VA,4744,12270,1
48,A,20855,MD,4709,6141,1
49,A,22151,VA,4695,5853,1
50,A,25425,WV,4582,6351,1
51,A,20740,MD,4581,13079,1
52,A,22553,VA,4574,5891,1
53,A,20124,VA,4504,4889,1
54,A,20882,MD,4502,4644,1
55,A,22181,VA,4499,5555,1
56,A,20012,DC,4487,7599,1
57,A,22308,VA,4459,4850,1
58,A,22026,VA,4415,6648,1
59,A,20746,MD,4404,14075,1
60,A,22046,VA,4320,7303,1
61,A,22203,VA,4223,14528,1
62,A,20912,MD,4196,10140,1
63,A,20872,MD,4122,4850,1
64,A,20194,VA,4101,5784,1
65,A,20607,MD,4094,4264,1
66,A,20032,DC,3983,19708,1
67,A,20866,MD,3961,5142,1
68,A,21788,MD,3933,5102,1
69,A,22303,VA,3901,8669,1
70,A,20186,VA,3861,6114,1
71,A,20695,MD,3797,4475,1
72,A,21769,MD,3777,4519,1
73,A,20708,MD,3700,11023,1
74,A,20737,MD,3462,7218,1
75,A,22307,VA,3419,4742,1
76,A,21793,MD,3396,4069,1
77,A,22301,VA,3385,6400,1
78,A,22202,VA,3307,18110,1
79,A,20024,DC,3207,11560,1
80,A,20640,MD,3124,4272,1
81,A,20903,MD,2900,7471,1
82,A,20181,VA,2881,3301,1
83,A,20851,MD,2877,5263,1
84,A,20166,VA,2698,5300,1
85,A,22044,VA,2689,5495,1
86,A,20841,MD,2683,3116,1
87,A,22611,VA,2674,3855,1
88,A,22305,VA,2563,8028,1
89,A,20037,DC,2554,8828,1
90,A,20005,DC,2535,9558,0
91,A,22712,VA,2484,3207,1
92,A,20833,MD,2469,2628,1
93,A,20781,MD,2437,4665,1
94,A,20616,MD,2431,2541,1
95,A,22172,VA,2401,3903,1
96,A,25430,WV,2389,3235,1
97,A,22209,VA,2384,9261,1
98,A,21754,MD,2381,2510,1
99,A,20180,VA,2352,2702,1
100,A,21770,MD,2345,2448,1
101,A,21716,MD,2324,2849,1
102,A,20141,VA,2294,2650,1
103,A,20837,MD,2159,2470,1
104,A,20769,MD,2155,2398,1
105,A,25443,WV,2015,2816,1
106,A,20637,MD,2001,2208,1
107,A,20115,VA,1992,3134,1
108,A,25438,WV,1931,3025,1
109,A,21755,MD,1786,2200,1
110,A,21773,MD,1764,2134,1
111,A,22311,VA,1636,9129,1
112,A,20036,DC,1621,4383,0
113,A,21791,MD,1559,1975,1
114,A,20722,MD,1480,2307,1
115,A,21758,MD,1411,1672,1
116,A,21710,MD,1407,1748,1
117,A,22642,VA,1406,2047,1
118,A,20622,MD,1345,1433,1
119,A,20158,VA,1333,1610,1
120,A,21727,MD,1304,1838,1
121,A,20106,VA,1304,1821,1
122,A,22213,VA,1167,1814,1
123,A,20135,VA,1147,1434,1
124,A,20119,VA,1101,1476,1
125,A,20117,VA,1085,1643,1
126,A,22737,VA,1043,1079,1
127,A,20712,MD,956,4271,1
128,A,20623,MD,954,968,1
129,A,20861,MD,952,1007,1
130,A,22728,VA,949,1223,1
131,A,22534,VA,926,1153,1
132,A,20664,MD,904,1524,1
133,A,22620,VA,859,1127,1
134,A,20662,MD,807,963,1
135,A,25442,WV,792,942,1
136,A,22734,VA,785,1422,1
137,A,21777,MD,747,750,1
138,A,20677,MD,728,781,1
139,A,22724,VA,714,790,1
140,A,20197,VA,708,863,1
141,A,21798,MD,701,933,1
142,A,22610,VA,684,830,1
143,A,20675,MD,684,711,1
144,A,20860,MD,649,849,1
145,A,22713,VA,648,768,1
146,A,20137,VA,638,721,1
147,A,20710,MD,594,3593,1
148,A,20198,VA,582,1136,1
149,A,22027,VA,571,623,1
150,A,20818,MD,560,658,1
151,A,20842,MD,543,747,1
152,A,21780,MD,524,738,1
153,A,22733,VA,519,738,1
154,A,20004,DC,510,1593,0
