zip,thru,a1,a3
01001,2025,-3.44,5.82
01002,2025,3.83,5.87
01005,2025,-3.06,3.53
01007,2025,8.39,6.83
01008,2021,10.7,6.0
01010,2025,2.27,6.33
01013,2025,11.2,8.63
01020,2025,5.87,5.9
01026,2022,2.32,13.02
01027,2025,2.34,7.82
01028,2025,7.43,5.73
01030,2025,4.19,6.3
01032,2021,24.22,13.12
01033,2025,7.16,5.24
01034,2025,11.1,10.83
01035,2025,2.81,8.29
01036,2025,2.06,6.0
01038,2022,13.26,8.53
01039,2022,16.36,4.44
01040,2025,2.89,5.26
01050,2023,7.94,11.91
01053,2021,11.38,2.71
01054,2021,9.14,5.48
01056,2025,5.29,6.0
01057,2025,11.79,7.64
01060,2025,2.13,3.61
01062,2025,3.69,6.83
01068,2025,6.93,4.27
01069,2025,7.73,7.79
01071,2022,10.59,8.97
01072,2021,10.14,2.64
01073,2025,19.41,11.1
01075,2025,3.35,5.36
01077,2025,5.83,6.58
01081,2022,12.92,13.03
01082,2025,6.74,7.85
01083,2025,14.43,10.52
01085,2025,3.96,5.92
01089,2025,1.27,5.02
01092,2022,11.56,9.27
01095,2025,5.83,6.92
01096,2021,3.88,5.62
01098,2021,2.22,3.73
01104,2025,11.64,8.12
01105,2009,3.45,-3.9
01106,2025,7.9,7.44
01107,2025,5.23,9.76
01108,2025,0.78,5.07
01109,2025,4.51,7.36
01118,2025,10.15,5.78
01119,2025,1.56,5.75
01128,2025,3.91,4.58
01129,2025,1.12,6.68
01151,2025,0.46,10.17
01201,2025,-0.02,6.7
01220,2023,7.02,9.07
01222,2021,11.4,10.65
01223,2025,-2.41,5.42
01225,2022,26.22,14.45
01226,2025,3.71,5.08
01230,2025,-6.51,1.99
01235,2022,18.58,12.14
01236,2021,12.27,2.5
01237,2022,21.77,12.46
01238,2024,-1.52,10.6
01240,2023,7.74,15.71
01245,2021,25.1,7.73
01247,2025,12.67,8.5
01253,2024,16.26,15.14
01254,2021,6.8,9.02
