rank,tier,zip,state,owner,units,fhfa_a1
1,A,77494,TX,30247,44520,9.95
2,A,78660,TX,29818,44399,-4.2
3,A,32162,FL,29376,37824,-5.03
4,A,77449,TX,27716,40773,56.96
5,A,77573,TX,27212,37188,3.2
6,A,77433,TX,26802,34420,2.91
7,A,77429,TX,26477,33137,0.61
8,A,78641,TX,25515,33118,-0.48
9,A,63376,MO,24584,30718,4.4
10,A,77479,TX,24564,30680,10.33
11,A,78130,TX,24486,40810,-3.41
12,A,79936,TX,24113,36825,3.83
13,A,27587,NC,23666,30571,1.82
14,A,85142,AZ,23654,27701,2.25
15,A,10314,NY,23446,33554,7.34
16,A,95747,CA,23263,29457,0.65
17,A,79938,TX,23251,29818,-0.12
18,A,73099,OK,23122,32654,1.27
19,A,92336,CA,22981,28489,2.04
20,A,77584,TX,22936,32579,8.03
21,A,34953,FL,22833,28131,-1.01
22,A,77459,TX,22743,28071,-10.5
23,A,80134,CO,22566,28663,4.33
24,A,30040,GA,22487,27642,7.75
25,A,85383,AZ,22371,25570,1.91
26,A,30024,GA,22278,29306,2.49
27,A,30041,GA,22091,27027,-0.9
28,A,78245,TX,22029,32219,-2.29
29,A,34787,FL,22017,33141,-2.44
30,A,46307,IN,22010,26081,2.07
31,A,78613,TX,21791,34198,-3.75
32,A,77084,TX,21733,39087,29.85
33,A,77379,TX,21654,30004,-5.52
34,A,11234,NY,21652,35167,5.77
35,A,33411,FL,21544,30063,1.92
36,A,08831,NJ,21380,24898,5.09
37,A,75035,TX,21312,29198,-0.96
38,A,77346,TX,21307,26650,11.14
39,A,44060,OH,21163,27276,3.08
40,A,83646,ID,21137,26829,-1.34
41,A,29072,SC,21092,26951,4.0
42,A,79928,TX,20962,24841,2.01
43,A,44256,OH,20962,26740,8.09
44,A,60629,IL,20957,36283,4.02
45,A,30052,GA,20897,26768,-0.11
46,A,66062,KS,20870,29350,2.09
47,A,87120,NM,20823,27432,0.4
48,A,37013,TN,20745,41112,1.19
49,A,30127,GA,20726,25289,5.65
50,A,02360,MA,20596,28598,4.0
51,A,34293,FL,20526,28344,-8.07
52,A,78254,TX,20514,25493,-3.45
53,A,30188,GA,20509,26759,1.99
54,A,37075,TN,20505,29600,1.54
55,A,76028,TX,20468,27928,-1.07
56,A,30043,GA,20446,30251,3.04
57,A,80015,CO,20410,25482,-3.4
58,A,29681,SC,20405,25079,2.79
59,A,60634,IL,20399,29344,7.21
60,A,08753,NJ,20316,27900,4.22
61,A,75052,TX,20277,33386,-3.67
62,A,95630,CA,20183,30106,1.63
63,A,22193,VA,19824,25121,3.58
64,A,45011,OH,19774,28470,6.5
65,A,76179,TX,19766,26227,-0.69
66,A,23464,VA,19710,29267,3.3
67,A,80013,CO,19706,26692,0.89
68,A,30044,GA,19633,32206,2.32
69,A,32259,FL,19601,23235,0.96
70,A,37042,TN,19587,35433,1.18
71,A,92592,CA,19580,25878,-1.61
72,A,43123,OH,19556,27876,3.62
73,A,28269,NC,19521,33124,1.22
74,A,23322,VA,19431,22386,4.45
75,A,34711,FL,19409,28127,4.45
76,A,32174,FL,19386,26303,3.14
77,A,97229,OR,19314,28312,0.68
78,A,87121,NM,19295,26118,3.67
79,A,76063,TX,19273,28105,1.28
80,A,75126,TX,19249,24316,2.66
81,A,37122,TN,19247,25608,-1.37
82,A,77407,TX,19218,25284,18.54
83,A,55044,MN,19209,22519,1.05
84,A,78572,TX,19167,32696,10.12
85,A,28078,NC,19057,27659,3.83
86,A,30062,GA,19023,24178,2.29
87,A,37064,TN,18916,25302,3.28
88,A,30004,GA,18877,25485,7.56
89,A,87114,NM,18755,28038,1.58
90,A,37027,TN,18746,23745,8.43
91,A,80016,CO,18745,24227,-3.88
92,A,93065,CA,18687,26260,1.86
93,A,38401,TN,18640,28470,3.6
94,A,99301,WA,18482,27700,0.87
95,A,85308,AZ,18461,26540,2.22
96,A,77406,TX,18447,22096,26.32
97,A,11746,NY,18416,22528,7.82
98,A,77845,TX,18404,31464,-0.49
99,A,60618,IL,18361,41053,6.36
100,A,75068,TX,18275,23499,-3.1
101,A,90650,CA,18256,27346,2.96
102,A,23456,VA,18229,22071,7.12
103,A,75002,TX,18226,24174,-1.36
104,A,94565,CA,18214,31173,-0.55
105,A,28027,NC,18202,31450,-0.15
106,A,66061,KS,18153,24744,3.71
107,A,98012,WA,18111,28174,0.17
108,A,30349,GA,18077,34176,4.62
109,A,91709,CA,18059,26282,2.43
110,A,37128,TN,18043,29190,-2.18
111,A,80504,CO,18037,23359,-1.75
112,A,15601,PA,18020,25978,4.81
113,A,77095,TX,17998,26429,6.81
114,A,94513,CA,17964,22546,-1.8
115,A,77469,TX,17947,22854,5.02
116,A,60453,IL,17940,23115,4.67
117,A,89031,NV,17901,25182,-0.24
118,A,95648,CA,17861,22095,1.43
119,A,28173,NC,17849,20801,4.74
120,A,83709,ID,17839,22262,0.74
121,A,08527,NJ,17789,21755,8.13
122,A,21234,MD,17770,29575,0.35
123,A,80634,CO,17754,25802,-0.05
124,A,30022,GA,17719,24330,6.26
125,A,32137,FL,17680,24717,-2.89
126,A,48044,MI,17671,20031,3.84
127,A,77386,TX,17668,22778,-0.15
128,A,38654,MS,17668,21437,2.71
129,A,45140,OH,17667,22684,5.21
130,A,84043,UT,17621,23408,2.21
131,A,77450,TX,17615,26259,-2.47
132,A,30075,GA,17602,22190,-1.67
133,A,11758,NY,17588,19297,7.75
134,A,63021,MO,17541,22982,3.63
135,A,87124,NM,17530,23027,1.82
136,A,78640,TX,17519,25236,-4.88
137,A,27526,NC,17503,22612,0.64
138,A,30135,GA,17441,23823,-3.03
139,A,35242,AL,17353,25247,6.29
140,A,28277,NC,17340,30100,0.34
141,A,59901,MT,17255,25154,3.04
142,A,29732,SC,17255,24926,2.74
143,A,44077,OH,17250,24928,5.18
144,A,76244,TX,17244,26098,1.22
145,A,43026,OH,17238,25671,2.95
146,A,77375,TX,17236,25452,10.57
147,A,78253,TX,17216,24095,15.57
148,A,11375,NY,17214,35415,4.99
149,A,30066,GA,17197,23632,3.49
150,A,92563,CA,17155,24020,2.22
151,A,78542,TX,17136,25198,4.47
152,A,98391,WA,17110,20573,3.67
153,A,17331,PA,17093,23528,6.11
154,A,75071,TX,17086,23861,-2.35
155,A,91342,CA,17073,26403,3.33
156,A,29483,SC,17045,23133,3.11
157,A,22407,VA,17042,23305,0.62
158,A,32940,FL,17027,21433,6.43
159,A,14580,NY,17016,24355,7.87
160,A,60617,IL,16997,35031,5.95
161,A,27284,NC,16995,25168,2.57
162,A,84404,UT,16979,23907,3.26
163,A,20772,MD,16951,19658,2.93
164,A,92677,CA,16949,27527,8.1
165,A,23112,VA,16944,21511,3.05
166,A,92345,CA,16940,27247,3.19
167,A,85338,AZ,16935,23748,3.76
168,A,44035,OH,16935,29637,3.51
169,A,20147,VA,16899,25474,-9.01
170,A,20878,MD,16875,25297,3.4
171,A,79912,TX,16851,33856,3.54
172,A,60638,IL,16837,21636,4.86
173,A,85032,AZ,16830,30386,0.77
174,A,84015,UT,16822,23058,-0.43
175,A,11236,NY,16816,37002,9.56
176,A,30281,GA,16811,29546,-2.07
177,A,29651,SC,16801,21738,2.88
178,A,30101,GA,16790,21788,-1.54
179,A,87111,NM,16784,28192,2.84
180,A,84096,UT,16774,21168,1.16
181,A,85225,AZ,16764,28930,2.18
182,A,27610,NC,16740,29245,-0.51
183,A,17603,PA,16732,28142,4.06
184,A,45040,OH,16725,21977,4.43
185,A,63129,MO,16698,21945,0.5
186,A,30016,GA,16686,21223,-0.7
